"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2023 18:15:00 - 02/01/2023 18:30:00","BZN|HU","27.09","13.30","13.30","21.40"
"02/01/2023 18:30:00 - 02/01/2023 18:45:00","BZN|HU","27.18","13.38","13.38","17.50"
"02/01/2023 18:45:00 - 02/01/2023 19:00:00","BZN|HU","27.26","12.68","12.68","16.14"
"02/01/2023 19:00:00 - 02/01/2023 19:15:00","BZN|HU","27.42","12.27","12.27","13.56"
"02/01/2023 19:15:00 - 02/01/2023 19:30:00","BZN|HU","27.64","13.58","13.58","14.45"
"02/01/2023 19:30:00 - 02/01/2023 19:45:00","BZN|HU","27.87","13.70","13.70","12.91"
"02/01/2023 19:45:00 - 02/01/2023 20:00:00","BZN|HU","28.10","13.81","13.81","12.71"
"02/01/2023 20:00:00 - 02/01/2023 20:15:00","BZN|HU","29.22","14.31","14.31","16.51"
"02/01/2023 20:15:00 - 02/01/2023 20:30:00","BZN|HU","31.25","12.98","12.98","22.05"
"02/01/2023 20:30:00 - 02/01/2023 20:45:00","BZN|HU","33.28","14.00","14.00","21.67"
"02/01/2023 20:45:00 - 02/01/2023 21:00:00","BZN|HU","35.31","15.02","15.02","22.01"
"02/01/2023 21:00:00 - 02/01/2023 21:15:00","BZN|HU","36.73","16.36","16.36","22.29"
"02/01/2023 21:15:00 - 02/01/2023 21:30:00","BZN|HU","37.55","20.74","20.74","25.53"
"02/01/2023 21:30:00 - 02/01/2023 21:45:00","BZN|HU","38.37","21.81","21.81","24.92"
"02/01/2023 21:45:00 - 02/01/2023 22:00:00","BZN|HU","39.19","22.88","22.88","22.51"
"02/01/2023 22:00:00 - 02/01/2023 22:15:00","BZN|HU","39.25","23.27","23.27","20.55"
"02/01/2023 22:15:00 - 02/01/2023 22:30:00","BZN|HU","38.54","23.28","23.28","19.00"
"02/01/2023 22:30:00 - 02/01/2023 22:45:00","BZN|HU","37.84","22.92","22.92","22.81"
"02/01/2023 22:45:00 - 02/01/2023 23:00:00","BZN|HU","37.13","22.57","22.57","20.09"
"02/01/2023 23:00:00 - 02/01/2023 23:15:00","BZN|HU","36.03","21.88","21.88","16.53"
"02/01/2023 23:15:00 - 02/01/2023 23:30:00","BZN|HU","34.54","20.86","20.86","14.79"
"02/01/2023 23:30:00 - 02/01/2023 23:45:00","BZN|HU","33.04","19.84","19.84","9.11"
"02/01/2023 23:45:00 - 03/01/2023 00:00:00","BZN|HU","31.55","18.81","18.81","4.61"
"03/01/2023 00:00:00 - 03/01/2023 00:15:00","BZN|HU","17.57","15.69","15.69","5.87"
"03/01/2023 00:15:00 - 03/01/2023 00:30:00","BZN|HU","16.10","6.17","6.17","4.41"
"03/01/2023 00:30:00 - 03/01/2023 00:45:00","BZN|HU","14.62","5.54","5.54","2.95"
"03/01/2023 00:45:00 - 03/01/2023 01:00:00","BZN|HU","13.15","5.32","5.32","1.83"
"03/01/2023 01:00:00 - 03/01/2023 01:15:00","BZN|HU","11.94","5.07","5.07","0.96"
"03/01/2023 01:15:00 - 03/01/2023 01:30:00","BZN|HU","10.98","1.75","1.75","0.72"
"03/01/2023 01:30:00 - 03/01/2023 01:45:00","BZN|HU","10.03","2.13","2.13","0.70"
"03/01/2023 01:45:00 - 03/01/2023 02:00:00","BZN|HU","9.07","2.51","2.51","1.05"
"03/01/2023 02:00:00 - 03/01/2023 02:15:00","BZN|HU","8.73","2.77","2.77","0.98"
"03/01/2023 02:15:00 - 03/01/2023 02:30:00","BZN|HU","8.99","2.09","2.09","0.76"
"03/01/2023 02:30:00 - 03/01/2023 02:45:00","BZN|HU","9.25","2.35","2.35","0.67"
"03/01/2023 02:45:00 - 03/01/2023 03:00:00","BZN|HU","9.51","2.62","2.62","1.08"
