"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2023 14:30:00 - 03/01/2023 14:45:00","BZN|HU","117.14","100.41","100.41","195.57"
"03/01/2023 14:45:00 - 03/01/2023 15:00:00","BZN|HU","84.41","73.64","73.64","143.26"
"03/01/2023 15:00:00 - 03/01/2023 15:15:00","BZN|HU","59.70","53.35","53.35","92.41"
"03/01/2023 15:15:00 - 03/01/2023 15:30:00","BZN|HU","42.25","38.10","38.10","57.80"
"03/01/2023 15:30:00 - 03/01/2023 15:45:00","BZN|HU","29.76","25.36","25.36","27.82"
"03/01/2023 15:45:00 - 03/01/2023 16:00:00","BZN|HU","20.08","15.12","15.12","11.52"
"03/01/2023 16:00:00 - 03/01/2023 16:15:00","BZN|HU","11.84","8.71","8.71","2.13"
"03/01/2023 16:15:00 - 03/01/2023 16:30:00","BZN|HU","6.30","5.40","5.40","0.05"
"03/01/2023 16:30:00 - 03/01/2023 16:45:00","BZN|HU","3.04","2.76","2.76","0.02"
"03/01/2023 16:45:00 - 03/01/2023 17:00:00","BZN|HU","0.94","0.68","0.68","0.01"
